Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Amayah,,,5.0,12.0,12.0,12.0,19.0,16.0,19.0,15.0,19.0
Ambar,9.0,9.0,14.0,10.0,8.0,6.0,9.0,9.0,,10.0,8.0
Amber,202.0,202.0,156.0,137.0,134.0,129.0,97.0,100.0,98.0,111.0,80.0
Amberlee,,,,5.0,,,,,6.0,,
Amberly,13.0,7.0,6.0,12.0,9.0,13.0,10.0,10.0,14.0,9.0,8.0
Ambika,,,5.0,,,,,,,,
Ameena,6.0,,7.0,5.0,6.0,10.0,7.0,8.0,10.0,6.0,15.0
Ameera,7.0,10.0,12.0,13.0,19.0,16.0,12.0,12.0,11.0,8.0,17.0
Ameerah,5.0,,5.0,7.0,9.0,6.0,,9.0,9.0,7.0,12.0
Amel,,,,,,,,,,,5.0
Amela,,,6.0,,6.0,,,,5.0,,
Amelia,198.0,250.0,256.0,266.0,295.0,292.0,332.0,396.0,432.0,430.0,525.0
Ameliah,,,,,,,,,6.0,5.0,5.0
Amelie,22.0,25.0,30.0,27.0,31.0,29.0,33.0,28.0,35.0,42.0,31.0
Amena,,,,,,,,,,,8.0
Amera,,,5.0,,,,,,,,
America,11.0,7.0,5.0,7.0,7.0,15.0,7.0,7.0,5.0,5.0,11.0
Amerie,5.0,16.0,7.0,8.0,11.0,6.0,12.0,10.0,11.0,6.0,5.0
Amethyst,,5.0,,6.0,,,,,,,6.0
Ameya,,,,,,,,,,5.0,
Ami,,9.0,7.0,,,6.0,,10.0,5.0,6.0,
Amia,10.0,9.0,11.0,9.0,16.0,7.0,10.0,8.0,7.0,16.0,26.0
Amiah,8.0,6.0,9.0,13.0,11.0,14.0,18.0,9.0,9.0,10.0,7.0
Amie,8.0,7.0,8.0,6.0,10.0,6.0,,9.0,8.0,6.0,6.0
Amilah,,,,,,,,,,,6.0
Amilia,,,,,,6.0,6.0,,5.0,,
Amilya,,,,,,,,,,5.0,
Amina,36.0,31.0,41.0,40.0,48.0,48.0,53.0,52.0,62.0,64.0,96.0
Aminah,12.0,10.0,11.0,11.0,22.0,11.0,14.0,15.0,18.0,20.0,20.0
Aminata,19.0,29.0,29.0,22.0,22.0,31.0,28.0,30.0,24.0,32.0,30.0
Amira,36.0,39.0,34.0,52.0,49.0,50.0,63.0,48.0,50.0,59.0,68.0
Amirah,11.0,10.0,20.0,15.0,43.0,29.0,35.0,37.0,44.0,26.0,38.0
Amisha,8.0,,8.0,,9.0,6.0,,,6.0,7.0,5.0
Amiya,8.0,16.0,30.0,18.0,25.0,26.0,30.0,35.0,17.0,31.0,27.0
Amiyah,16.0,15.0,27.0,39.0,30.0,51.0,58.0,55.0,32.0,45.0,48.0
Ammy,,10.0,,5.0,,,6.0,5.0,5.0,,
Amna,9.0,11.0,8.0,10.0,9.0,7.0,10.0,10.0,,8.0,5.0
Amor,,,,,,,,,,5.0,
Amora,,8.0,,,10.0,7.0,9.0,15.0,9.0,15.0,13.0
Amra,,,,,,5.0,,,,,
Amrita,6.0,,8.0,,,,,,5.0,6.0,
Amy,240.0,193.0,175.0,207.0,177.0,202.0,189.0,177.0,171.0,203.0,179.0
Amya,43.0,43.0,24.0,33.0,27.0,39.0,32.0,28.0,10.0,24.0,18.0
Amyah,6.0,,8.0,5.0,16.0,10.0,11.0,8.0,6.0,8.0,6.0
Amyiah,,,5.0,,,,,,6.0,,
Amyra,,,5.0,,,,,,7.0,5.0,
Ana,116.0,109.0,127.0,101.0,89.0,89.0,77.0,58.0,70.0,79.0,79.0
Anabel,20.0,12.0,14.0,22.0,17.0,25.0,21.0,15.0,22.0,25.0,25.0
Anabell,,,,,,,,5.0,,,
Anabella,15.0,18.0,18.0,16.0,10.0,24.0,24.0,22.0,27.0,39.0,38.0
Anabelle,18.0,15.0,16.0,24.0,16.0,31.0,32.0,46.0,35.0,45.0,43.0
